example_id                                                         | status  | run_time        |
./spec/controllers/subtypes_controller_spec.rb[1:6:1:3]            | pending | 0.00101 seconds |
./spec/controllers/subtypes_controller_spec.rb[1:6:2:1]            | pending | 0.00107 seconds |
./spec/controllers/subtypes_controller_spec.rb[1:6:2:2]            | pending | 0.00094 seconds |
./spec/controllers/subtypes_controller_spec.rb[1:7:1]              | pending | 0.00096 seconds |
./spec/controllers/subtypes_controller_spec.rb[1:7:2]              | pending | 0.00094 seconds |
./spec/controllers/types_controller_spec.rb[1:1:1]                 | pending | 0.00102 seconds |
./spec/controllers/types_controller_spec.rb[1:2:1]                 | pending | 0.00095 seconds |
./spec/controllers/types_controller_spec.rb[1:3:1]                 | failed  | 0.00319 seconds |
./spec/controllers/types_controller_spec.rb[1:4:1]                 | pending | 0.00112 seconds |
./spec/controllers/types_controller_spec.rb[1:5:1:1]               | pending | 0.00177 seconds |
./spec/controllers/types_controller_spec.rb[1:5:1:2]               | pending | 0.00111 seconds |
./spec/controllers/types_controller_spec.rb[1:5:1:3]               | pending | 0.00097 seconds |
./spec/controllers/types_controller_spec.rb[1:5:2:1]               | pending | 0.001 seconds   |
./spec/controllers/types_controller_spec.rb[1:5:2:2]               | pending | 0.00097 seconds |
./spec/controllers/types_controller_spec.rb[1:6:1:1]               | pending | 0.00098 seconds |
./spec/controllers/types_controller_spec.rb[1:6:1:2]               | pending | 0.00106 seconds |
./spec/controllers/types_controller_spec.rb[1:6:1:3]               | pending | 0.00097 seconds |
./spec/controllers/types_controller_spec.rb[1:6:2:1]               | pending | 0.00118 seconds |
./spec/controllers/types_controller_spec.rb[1:6:2:2]               | pending | 0.00104 seconds |
./spec/controllers/types_controller_spec.rb[1:7:1]                 | pending | 0.001 seconds   |
./spec/controllers/types_controller_spec.rb[1:7:2]                 | pending | 0.00092 seconds |
./spec/controllers/users/registrations_controller_spec.rb[1:1:1]   | passed  | 0.0431 seconds  |
./spec/controllers/users/registrations_controller_spec.rb[1:2:1:1] | passed  | 0.04857 seconds |
./spec/controllers/users/registrations_controller_spec.rb[1:2:1:2] | passed  | 0.00586 seconds |
./spec/controllers/users/registrations_controller_spec.rb[1:2:2:1] | passed  | 0.05778 seconds |
./spec/controllers/users/registrations_controller_spec.rb[1:2:2:2] | passed  | 0.0067 seconds  |
./spec/controllers/users/registrations_controller_spec.rb[1:2:3:1] | passed  | 0.00754 seconds |
./spec/controllers/users/registrations_controller_spec.rb[1:2:3:2] | passed  | 0.0074 seconds  |
./spec/controllers/users/registrations_controller_spec.rb[1:2:3:3] | passed  | 0.00692 seconds |
./spec/features/signup_spec.rb[1:1]                                | passed  | 0.584 seconds   |
./spec/features/type_spec.rb[1:1]                                  | failed  | 0.11293 seconds |
./spec/helpers/landing_helper_spec.rb[1:1]                         | pending | 0.00002 seconds |
./spec/helpers/subtypes_helper_spec.rb[1:1]                        | pending | 0.00001 seconds |
./spec/helpers/types_helper_spec.rb[1:1]                           | pending | 0.00001 seconds |
./spec/models/subtype_spec.rb[1:1]                                 | pending | 0.00001 seconds |
./spec/models/type_spec.rb[1:1]                                    | pending | 0.00001 seconds |
./spec/models/user_spec.rb[1:1]                                    | pending | 0.00001 seconds |
./spec/requests/subtypes_spec.rb[1:1:1]                            | passed  | 0.00693 seconds |
./spec/requests/types_spec.rb[1:1:1]                               | failed  | 0.00415 seconds |
./spec/routing/subtypes_routing_spec.rb[1:1:1]                     | passed  | 0.00115 seconds |
./spec/routing/subtypes_routing_spec.rb[1:1:2]                     | passed  | 0.00107 seconds |
./spec/routing/subtypes_routing_spec.rb[1:1:3]                     | passed  | 0.00088 seconds |
./spec/routing/subtypes_routing_spec.rb[1:1:4]                     | passed  | 0.00094 seconds |
./spec/routing/subtypes_routing_spec.rb[1:1:5]                     | passed  | 0.00089 seconds |
./spec/routing/subtypes_routing_spec.rb[1:1:6]                     | passed  | 0.00102 seconds |
./spec/routing/subtypes_routing_spec.rb[1:1:7]                     | passed  | 0.0009 seconds  |
./spec/routing/subtypes_routing_spec.rb[1:1:8]                     | passed  | 0.00094 seconds |
./spec/routing/types_routing_spec.rb[1:1:1]                        | passed  | 0.00083 seconds |
./spec/routing/types_routing_spec.rb[1:1:2]                        | passed  | 0.00094 seconds |
./spec/routing/types_routing_spec.rb[1:1:3]                        | passed  | 0.00112 seconds |
./spec/routing/types_routing_spec.rb[1:1:4]                        | passed  | 0.00111 seconds |
./spec/routing/types_routing_spec.rb[1:1:5]                        | passed  | 0.00129 seconds |
./spec/routing/types_routing_spec.rb[1:1:6]                        | passed  | 0.0012 seconds  |
./spec/routing/types_routing_spec.rb[1:1:7]                        | passed  | 0.00104 seconds |
./spec/routing/types_routing_spec.rb[1:1:8]                        | passed  | 0.00098 seconds |
./spec/views/landing/index.html.erb_spec.rb[1:1]                   | pending | 0.00001 seconds |
./spec/views/subtypes/edit.html.erb_spec.rb[1:1]                   | failed  | 0.00421 seconds |
./spec/views/subtypes/index.html.erb_spec.rb[1:1]                  | failed  | 0.00255 seconds |
./spec/views/subtypes/new.html.erb_spec.rb[1:1]                    | passed  | 0.01738 seconds |
./spec/views/subtypes/show.html.erb_spec.rb[1:1]                   | failed  | 0.00269 seconds |
./spec/views/types/edit.html.erb_spec.rb[1:1]                      | failed  | 0.00288 seconds |
./spec/views/types/index.html.erb_spec.rb[1:1]                     | failed  | 0.00278 seconds |
./spec/views/types/new.html.erb_spec.rb[1:1]                       | passed  | 0.01532 seconds |
./spec/views/types/show.html.erb_spec.rb[1:1]                      | failed  | 0.0028 seconds  |
